"","Step","intracls_average.c1","intracls_average.c2","intracls_centroid.c1","intracls_centroid.c2","intercls_centroid.c1","intercls_centroid.c2","cluster_size","cluster_center.1","cluster_center.2"
"c1",0,"0.000","0.000","0.000","0.000","0.000","1.414","5","1.000","1.000"
"c2",0,"0.000","0.000","0.000","0.000","1.414","0.000","5","0.000","0.000"
"c11",1,"0.240","0.000","0.192","0.000","0.000","1.304","5","0.1104","0.0471"
"c21",1,"0.240","0.000","0.192","0.000","1.304","0.000","5","1.0000","1.0000"
"c12",2,"0.240","0.174","0.192","0.139","0.000","1.217","5","0.1104","0.0471"
"c22",2,"0.240","0.174","0.192","0.139","1.217","0.000","5","0.9362","0.9410"
"c13",3,"0.458","0.174","0.332","0.139","0.000","1.077","5","0.168","0.186"
"c23",3,"0.458","0.174","0.332","0.139","1.077","0.000","5","0.936","0.941"
"c14",4,"0.217","0.434","0.163","0.305","0.000","1.053","4","0.920","0.926"
"c24",4,"0.217","0.434","0.163","0.305","1.053","0.000","6","0.149","0.209"
"c15",5,"0.467","0.483","0.332","0.318","0.000","0.913","5","0.936","0.762"
"c25",5,"0.467","0.483","0.332","0.318","0.913","0.000","5","0.179","0.251"
"c16",6,"0.516","0.483","0.344","0.318","0.000","0.845","5","0.922","0.651"
"c26",6,"0.516","0.483","0.344","0.318","0.845","0.000","5","0.179","0.251"
"c17",7,"0.460","0.525","0.291","0.320","0.000","0.778","6","0.926","0.648"
"c27",7,"0.460","0.525","0.291","0.320","0.778","0.000","4","0.223","0.313"
"c18",8,"0.459","0.464","0.286","0.274","0.000","0.741","5","0.233","0.279"
"c28",8,"0.459","0.464","0.286","0.274","0.741","0.000","5","0.912","0.577"
"c19",9,"0.464","0.383","0.274","0.249","0.000","0.645","5","0.912","0.577"
"c29",9,"0.464","0.383","0.274","0.249","0.645","0.000","5","0.321","0.318"
"c110",10,"0.488","0.396","0.329","0.229","0.000","0.604","6","0.288","0.426"
"c210",10,"0.488","0.396","0.329","0.229","0.604","0.000","4","0.889","0.472"
