"","Step","intracls_average.c1","intracls_average.c2","intracls_centroid.c1","intracls_centroid.c2","intercls_centroid.c1","intercls_centroid.c2","cluster_size","cluster_center.1","cluster_center.2","cluster_center.3"
"c1",0,"0.000","0.000","0.000","0.000","0.000","1.732","5","0.000","0.000","0.000"
"c2",0,"0.000","0.000","0.000","0.000","1.732","0.000","5","1.000","1.000","1.000"
"c11",1,"0.410","0.000","0.328","0.000","0.000","1.566","5","0.0533","0.1912","0.0511"
"c21",1,"0.410","0.000","0.328","0.000","1.566","0.000","5","1.0000","1.0000","1.0000"
"c12",2,"0.542","0.000","0.437","0.000","0.000","1.467","6","0.120","0.295","0.062"
"c22",2,"0.542","0.000","0.437","0.000","1.467","0.000","4","1.000","1.000","1.000"
"c13",3,"0.656","0.000","0.480","0.000","0.000","1.361","6","0.222","0.321","0.113"
"c23",3,"0.656","0.000","0.480","0.000","1.361","0.000","4","1.000","1.000","1.000"
"c14",4,"0.351","0.687","0.263","0.519","0.000","1.204","4","0.1534","0.0392","0.0761"
"c24",4,"0.351","0.687","0.263","0.519","1.204","0.000","6","0.7510","0.9563","0.5768"
"c15",5,"0.711","0.000","0.489","0.000","0.000","1.212","7","0.336","0.453","0.146"
"c25",5,"0.711","0.000","0.489","0.000","1.212","0.000","3","1.000","1.000","1.000"
"c16",6,"0.727","0.432","0.512","0.291","0.000","0.997","5","0.701","0.948","0.492"
"c26",6,"0.727","0.432","0.512","0.291","0.997","0.000","5","0.262","0.131","0.126"
"c17",7,"0.655","0.000","0.446","0.000","0.000","1.119","8","0.383","0.532","0.192"
"c27",7,"0.655","0.000","0.446","0.000","1.119","0.000","2","1.000","1.000","1.000"
"c18",8,"0.482","0.644","0.296","0.416","0.000","0.752","5","0.418","0.210","0.171"
"c28",8,"0.482","0.644","0.296","0.416","0.752","0.000","5","0.550","0.920","0.382"
"c19",9,"0.419","0.644","0.262","0.416","0.000","0.707","5","0.497","0.221","0.286"
"c29",9,"0.419","0.644","0.262","0.416","0.707","0.000","5","0.550","0.920","0.382"
"c110",10,"0.419","0.456","0.262","0.288","0.000","0.632","5","0.497","0.221","0.286"
"c210",10,"0.419","0.456","0.262","0.288","0.632","0.000","5","0.506","0.845","0.187"
