"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",0,0,2.22e-16,1,1
"2",1,0.0458,0.0435,0.956,0.958
"3",2,0.0799,0.0758,0.926,0.93
"4",3,0.0997,0.093,0.909,0.915
"5",4,0.131,0.12,0.884,0.893
"6",5,0.134,0.12,0.882,0.893
"7",6,0.158,0.139,0.864,0.878
"8",7,0.161,0.146,0.861,0.873
"9",8,0.199,0.178,0.834,0.849
"10",9,0.212,0.192,0.825,0.839
"11",10,0.256,0.231,0.796,0.812
"12",11,0.275,0.246,0.784,0.803
"13",12,0.296,0.259,0.772,0.794
"14",13,0.32,0.277,0.758,0.783
"15",14,0.385,0.317,0.722,0.759
"16",15,0.395,0.325,0.717,0.755
"17",16,0.438,0.358,0.695,0.736
"18",17,0.396,0.33,0.716,0.752
"19",18,0.428,0.353,0.7,0.739
"20",19,0.431,0.349,0.699,0.741
"21",20,0.478,0.383,0.677,0.723
"22",21,0.455,0.354,0.687,0.739
"23",22,0.481,0.369,0.675,0.73
"24",23,0.431,0.334,0.699,0.75
"25",24,0.489,0.379,0.672,0.725
"26",25,0.499,0.389,0.667,0.72
"27",26,0.513,0.398,0.661,0.715
"28",27,0.485,0.372,0.673,0.729
"29",28,0.513,0.388,0.661,0.72
"30",29,0.534,0.404,0.652,0.712
"31",30,0.568,0.428,0.638,0.7
"32",31,0.543,0.402,0.648,0.713
"33",32,0.546,0.404,0.647,0.712
"34",33,0.596,0.436,0.627,0.696
"35",34,0.632,0.458,0.613,0.686
"36",35,0.659,0.481,0.603,0.675
"37",36,0.684,0.501,0.594,0.666
"38",37,0.702,0.517,0.588,0.659
"39",38,0.719,0.527,0.582,0.655
"40",39,0.707,0.521,0.586,0.657
"41",40,0.753,0.557,0.57,0.642
