"","Step","kmeans_result.cluster"
"1",0,1
"2",0,1
"3",0,1
"4",0,1
"5",0,1
"6",0,1
"7",0,1
"8",0,1
"9",0,1
"10",0,1
"11",0,1
"12",0,1
"13",0,1
"14",0,1
"15",0,1
"16",0,1
"17",0,1
"18",0,1
"19",0,1
"20",0,1
"21",0,2
"22",0,2
"23",0,2
"24",0,2
"25",0,2
"26",0,2
"27",0,2
"28",0,2
"29",0,2
"30",0,2
"31",0,2
"32",0,2
"33",0,2
"34",0,2
"35",0,2
"36",0,2
"37",0,2
"38",0,2
"39",0,2
"40",0,2
"41",1,2
"42",1,2
"43",1,2
"44",1,2
"45",1,2
"46",1,2
"47",1,2
"48",1,2
"49",1,2
"50",1,2
"51",1,2
"52",1,2
"53",1,2
"54",1,2
"55",1,2
"56",1,2
"57",1,2
"58",1,2
"59",1,2
"60",1,2
"61",1,1
"62",1,1
"63",1,1
"64",1,1
"65",1,1
"66",1,1
"67",1,1
"68",1,1
"69",1,1
"70",1,1
"71",1,1
"72",1,1
"73",1,1
"74",1,1
"75",1,1
"76",1,1
"77",1,1
"78",1,1
"79",1,1
"80",1,1
"81",2,1
"82",2,1
"83",2,2
"84",2,1
"85",2,1
"86",2,1
"87",2,1
"88",2,1
"89",2,1
"90",2,1
"91",2,1
"92",2,1
"93",2,1
"94",2,1
"95",2,1
"96",2,1
"97",2,1
"98",2,1
"99",2,1
"100",2,1
"101",2,2
"102",2,2
"103",2,2
"104",2,2
"105",2,2
"106",2,2
"107",2,2
"108",2,2
"109",2,2
"110",2,2
"111",2,2
"112",2,2
"113",2,2
"114",2,2
"115",2,2
"116",2,2
"117",2,2
"118",2,2
"119",2,2
"120",2,2
"121",3,1
"122",3,1
"123",3,2
"124",3,1
"125",3,1
"126",3,1
"127",3,1
"128",3,1
"129",3,1
"130",3,1
"131",3,1
"132",3,1
"133",3,1
"134",3,1
"135",3,1
"136",3,1
"137",3,1
"138",3,1
"139",3,1
"140",3,1
"141",3,2
"142",3,2
"143",3,2
"144",3,2
"145",3,2
"146",3,2
"147",3,2
"148",3,2
"149",3,2
"150",3,2
"151",3,2
"152",3,2
"153",3,2
"154",3,2
"155",3,2
"156",3,2
"157",3,2
"158",3,2
"159",3,2
"160",3,2
"161",4,1
"162",4,1
"163",4,2
"164",4,1
"165",4,1
"166",4,1
"167",4,1
"168",4,1
"169",4,1
"170",4,1
"171",4,1
"172",4,1
"173",4,1
"174",4,1
"175",4,1
"176",4,1
"177",4,1
"178",4,1
"179",4,1
"180",4,1
"181",4,2
"182",4,2
"183",4,2
"184",4,2
"185",4,2
"186",4,2
"187",4,2
"188",4,2
"189",4,2
"190",4,2
"191",4,2
"192",4,2
"193",4,2
"194",4,2
"195",4,2
"196",4,2
"197",4,2
"198",4,2
"199",4,2
"200",4,2
"201",5,1
"202",5,1
"203",5,1
"204",5,1
"205",5,1
"206",5,1
"207",5,1
"208",5,1
"209",5,1
"210",5,1
"211",5,1
"212",5,1
"213",5,1
"214",5,1
"215",5,1
"216",5,1
"217",5,1
"218",5,1
"219",5,1
"220",5,1
"221",5,2
"222",5,2
"223",5,2
"224",5,2
"225",5,2
"226",5,2
"227",5,2
"228",5,2
"229",5,2
"230",5,2
"231",5,2
"232",5,2
"233",5,2
"234",5,2
"235",5,2
"236",5,2
"237",5,2
"238",5,2
"239",5,2
"240",5,2
"241",6,2
"242",6,2
"243",6,2
"244",6,2
"245",6,2
"246",6,2
"247",6,2
"248",6,2
"249",6,2
"250",6,2
"251",6,2
"252",6,2
"253",6,2
"254",6,2
"255",6,2
"256",6,2
"257",6,2
"258",6,2
"259",6,2
"260",6,2
"261",6,1
"262",6,1
"263",6,1
"264",6,1
"265",6,1
"266",6,1
"267",6,1
"268",6,1
"269",6,1
"270",6,1
"271",6,1
"272",6,1
"273",6,1
"274",6,1
"275",6,1
"276",6,1
"277",6,1
"278",6,1
"279",6,1
"280",6,1
"281",7,1
"282",7,1
"283",7,1
"284",7,2
"285",7,1
"286",7,1
"287",7,1
"288",7,1
"289",7,1
"290",7,1
"291",7,1
"292",7,1
"293",7,1
"294",7,1
"295",7,1
"296",7,1
"297",7,1
"298",7,1
"299",7,1
"300",7,1
"301",7,2
"302",7,2
"303",7,2
"304",7,2
"305",7,2
"306",7,2
"307",7,2
"308",7,2
"309",7,2
"310",7,2
"311",7,2
"312",7,2
"313",7,2
"314",7,2
"315",7,2
"316",7,2
"317",7,2
"318",7,2
"319",7,2
"320",7,2
"321",8,1
"322",8,1
"323",8,1
"324",8,2
"325",8,1
"326",8,2
"327",8,1
"328",8,1
"329",8,1
"330",8,1
"331",8,1
"332",8,1
"333",8,1
"334",8,1
"335",8,1
"336",8,1
"337",8,1
"338",8,1
"339",8,1
"340",8,1
"341",8,2
"342",8,2
"343",8,2
"344",8,2
"345",8,2
"346",8,2
"347",8,2
"348",8,2
"349",8,2
"350",8,2
"351",8,2
"352",8,2
"353",8,2
"354",8,2
"355",8,2
"356",8,2
"357",8,2
"358",8,2
"359",8,2
"360",8,2
"361",9,2
"362",9,2
"363",9,2
"364",9,1
"365",9,1
"366",9,1
"367",9,2
"368",9,2
"369",9,2
"370",9,2
"371",9,2
"372",9,2
"373",9,2
"374",9,2
"375",9,2
"376",9,2
"377",9,2
"378",9,2
"379",9,2
"380",9,2
"381",9,1
"382",9,1
"383",9,1
"384",9,1
"385",9,1
"386",9,1
"387",9,1
"388",9,1
"389",9,1
"390",9,1
"391",9,1
"392",9,1
"393",9,1
"394",9,1
"395",9,1
"396",9,1
"397",9,1
"398",9,1
"399",9,1
"400",9,1
"401",10,1
"402",10,1
"403",10,1
"404",10,2
"405",10,2
"406",10,2
"407",10,1
"408",10,1
"409",10,1
"410",10,1
"411",10,1
"412",10,1
"413",10,1
"414",10,1
"415",10,1
"416",10,1
"417",10,1
"418",10,1
"419",10,1
"420",10,1
"421",10,2
"422",10,2
"423",10,2
"424",10,2
"425",10,2
"426",10,2
"427",10,2
"428",10,2
"429",10,2
"430",10,2
"431",10,2
"432",10,2
"433",10,2
"434",10,2
"435",10,2
"436",10,2
"437",10,2
"438",10,2
"439",10,2
"440",10,2
"441",11,1
"442",11,1
"443",11,1
"444",11,2
"445",11,2
"446",11,1
"447",11,1
"448",11,1
"449",11,1
"450",11,1
"451",11,1
"452",11,1
"453",11,1
"454",11,1
"455",11,1
"456",11,1
"457",11,1
"458",11,1
"459",11,1
"460",11,1
"461",11,2
"462",11,2
"463",11,2
"464",11,2
"465",11,2
"466",11,2
"467",11,2
"468",11,2
"469",11,2
"470",11,2
"471",11,2
"472",11,2
"473",11,2
"474",11,2
"475",11,2
"476",11,2
"477",11,2
"478",11,2
"479",11,2
"480",11,2
"481",12,1
"482",12,1
"483",12,1
"484",12,2
"485",12,2
"486",12,1
"487",12,1
"488",12,1
"489",12,1
"490",12,1
"491",12,1
"492",12,1
"493",12,1
"494",12,1
"495",12,1
"496",12,1
"497",12,1
"498",12,1
"499",12,1
"500",12,1
"501",12,2
"502",12,2
"503",12,2
"504",12,2
"505",12,2
"506",12,2
"507",12,2
"508",12,2
"509",12,2
"510",12,2
"511",12,2
"512",12,2
"513",12,2
"514",12,2
"515",12,2
"516",12,2
"517",12,2
"518",12,2
"519",12,2
"520",12,2
"521",13,2
"522",13,2
"523",13,2
"524",13,1
"525",13,1
"526",13,2
"527",13,2
"528",13,2
"529",13,2
"530",13,2
"531",13,2
"532",13,2
"533",13,2
"534",13,2
"535",13,2
"536",13,2
"537",13,2
"538",13,2
"539",13,2
"540",13,2
"541",13,1
"542",13,1
"543",13,1
"544",13,1
"545",13,1
"546",13,1
"547",13,1
"548",13,1
"549",13,1
"550",13,1
"551",13,1
"552",13,1
"553",13,1
"554",13,1
"555",13,1
"556",13,1
"557",13,1
"558",13,1
"559",13,1
"560",13,1
"561",14,2
"562",14,2
"563",14,2
