"","Step","intracls_average.c1","intracls_average.c2","intracls_centroid.c1","intracls_centroid.c2","intercls_centroid.c1","intercls_centroid.c2","cluster_size","cluster_center.1","cluster_center.2","cluster_center.3","cluster_center.4","cluster_center.5"
"c1",0,"0.000","0.000","0.000","0.000","0.000","2.236","5","1.000","1.000","1.000","1.000","1.000"
"c2",0,"0.000","0.000","0.000","0.000","2.236","0.000","5","0.000","0.000","0.000","0.000","0.000"
"c11",1,"0.000","0.412","0.000","0.344","0.000","2.064","4","0.000","0.000","0.000","0.000","0.000"
"c21",1,"0.000","0.412","0.000","0.344","2.064","0.000","6","1.000","0.851","0.922","0.899","0.937"
"c12",2,"0.000","0.712","0.000","0.547","0.000","1.915","4","0.000","0.000","0.000","0.000","0.000"
"c22",2,"0.000","0.712","0.000","0.547","1.915","0.000","6","0.897","0.685","0.879","0.889","0.911"
"c13",3,"0.315","0.712","0.237","0.547","0.000","1.770","4","0.0398","0.0589","0.1153","0.0631","0.0503"
"c23",3,"0.315","0.712","0.237","0.547","1.770","0.000","6","0.8973","0.6846","0.8789","0.8889","0.9113"
"c14",4,"0.315","0.996","0.237","0.703","0.000","1.579","4","0.0398","0.0589","0.1153","0.0631","0.0503"
"c24",4,"0.315","0.996","0.237","0.703","1.579","0.000","6","0.8476","0.6529","0.8541","0.7375","0.7480"
"c15",5,"0.000","1.063","0.000","0.704","0.000","1.535","3","1.000","1.000","1.000","1.000","1.000"
"c25",5,"0.000","1.063","0.000","0.704","1.535","0.000","7","0.344","0.235","0.379","0.264","0.357"
"c16",6,"0.667","1.124","0.439","0.755","0.000","1.256","4","0.0805","0.1821","0.1314","0.1060","0.2534"
"c26",6,"0.667","1.124","0.439","0.755","1.256","0.000","6","0.7631","0.6433","0.7823","0.7119","0.5839"
"c17",7,"0.874","1.057","0.579","0.665","0.000","1.056","5","0.807","0.534","0.769","0.843","0.834"
"c27",7,"0.874","1.057","0.579","0.665","1.056","0.000","5","0.303","0.496","0.389","0.272","0.210"
"c18",8,"1.061","0.737","0.679","0.449","0.000","0.992","6","0.705","0.570","0.711","0.692","0.534"
"c28",8,"1.061","0.737","0.679","0.449","0.992","0.000","4","0.202","0.215","0.143","0.208","0.318"
"c19",9,"0.919","0.986","0.598","0.578","0.000","0.809","6","0.546","0.299","0.480","0.268","0.395"
"c29",9,"0.919","0.986","0.598","0.578","0.809","0.000","4","0.632","0.627","0.721","0.917","0.641"
"c110",10,"0.817","0.893","0.472","0.592","0.000","0.750","3","0.6222","0.7940","0.5295","0.3898","0.0959"
"c210",10,"0.817","0.893","0.472","0.592","0.750","0.000","7","0.5159","0.2213","0.4772","0.4769","0.5569"
