"","Step","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"1",0,0,0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,0
"11",0,1,1,1,1,1,1,1,1,1,1
"12",0,1,1,1,1,1,1,1,1,1,1
"13",0,1,1,1,1,1,1,1,1,1,1
"14",0,1,1,1,1,1,1,1,1,1,1
"15",0,1,1,1,1,1,1,1,1,1,1
"16",0,1,1,1,1,1,1,1,1,1,1
"17",0,1,1,1,1,1,1,1,1,1,1
"18",0,1,1,1,1,1,1,1,1,1,1
"19",0,1,1,1,1,1,1,1,1,1,1
"20",0,1,1,1,1,1,1,1,1,1,1
"21",1,0.0333929886110127,0.19302503624931,0.591133596608415,0.209737336263061,0.989790069870651,0.237562819384038,0.117050996748731,0.506153077119961,0.997014492982998,0.357455034274608
"22",1,0,0,0,0,0,0,0,0,0,0
"23",1,0,0,0,0,0,0,0,0,0,0
"24",1,0,0,0,0,0,0,0,0,0,0
"25",1,0,0,0,0,0,0,0,0,0,0
"26",1,0,0,0,0,0,0,0,0,0,0
"27",1,0,0,0,0,0,0,0,0,0,0
"28",1,0,0,0,0,0,0,0,0,0,0
"29",1,0,0,0,0,0,0,0,0,0,0
"30",1,0,0,0,0,0,0,0,0,0,0
"31",1,1,1,1,1,1,1,1,1,1,1
"32",1,1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,1,1,1,1,1,1,1
"34",1,1,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1,1,1,1,1,1
"36",1,1,1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1,1,1,1,1
"38",1,1,1,1,1,1,1,1,1,1,1
"39",1,1,1,1,1,1,1,1,1,1,1
"40",1,1,1,1,1,1,1,1,1,1,1
