"","Step","X1","X2","X3","X4","X5"
"1",0,0,0,0,0,0
"2",0,0,0,0,0,0
"3",0,0,0,0,0,0
"4",0,0,0,0,0,0
"5",0,0,0,0,0,0
"6",0,1,1,1,1,1
"7",0,1,1,1,1,1
"8",0,1,1,1,1,1
"9",0,1,1,1,1,1
"10",0,1,1,1,1,1
"11",1,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"12",1,0,0,0,0,0
"13",1,0,0,0,0,0
"14",1,0,0,0,0,0
"15",1,0,0,0,0,0
"16",1,1,1,1,1,1
"17",1,1,1,1,1,1
"18",1,1,1,1,1,1
"19",1,1,1,1,1,1
"20",1,1,1,1,1,1
"21",2,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"22",2,0,0,0,0,0
"23",2,0,0,0,0,0
"24",2,0,0,0,0,0
"25",2,0,0,0,0,0
"26",2,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"27",2,1,1,1,1,1
"28",2,1,1,1,1,1
"29",2,1,1,1,1,1
"30",2,1,1,1,1,1
"31",3,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"32",3,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"33",3,0,0,0,0,0
"34",3,0,0,0,0,0
"35",3,0,0,0,0,0
"36",3,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"37",3,1,1,1,1,1
"38",3,1,1,1,1,1
"39",3,1,1,1,1,1
"40",3,1,1,1,1,1
"41",4,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"42",4,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"43",4,0,0,0,0,0
"44",4,0,0,0,0,0
"45",4,0,0,0,0,0
"46",4,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"47",4,0.888430204009637,0.260413923766464,0.722809249302372,0.905878391815349,0.00702548259869218
"48",4,1,1,1,1,1
"49",4,1,1,1,1,1
"50",4,1,1,1,1,1
"51",5,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"52",5,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"53",5,0.101229002000764,0.103510939516127,0.262563402298838,0.0018256432376802,0.1445391648449
"54",5,0,0,0,0,0
"55",5,0,0,0,0,0
"56",5,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"57",5,0.888430204009637,0.260413923766464,0.722809249302372,0.905878391815349,0.00702548259869218
"58",5,1,1,1,1,1
"59",5,1,1,1,1,1
"60",5,1,1,1,1,1
"61",6,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"62",6,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"63",6,0.101229002000764,0.103510939516127,0.262563402298838,0.0018256432376802,0.1445391648449
"64",6,0,0,0,0,0
"65",6,0,0,0,0,0
"66",6,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"67",6,0.888430204009637,0.260413923766464,0.722809249302372,0.905878391815349,0.00702548259869218
"68",6,0.789778494741768,0.849823635304347,0.802811487577856,0.483796266373247,0.944478267803788
"69",6,1,1,1,1,1
"70",6,1,1,1,1,1
"71",7,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"72",7,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"73",7,0.101229002000764,0.103510939516127,0.262563402298838,0.0018256432376802,0.1445391648449
"74",7,0.605683450354263,0.283427779795602,0.614460975863039,0.383130574366078,0.564816235564649
"75",7,0,0,0,0,0
"76",7,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"77",7,0.888430204009637,0.260413923766464,0.722809249302372,0.905878391815349,0.00702548259869218
"78",7,0.789778494741768,0.849823635304347,0.802811487577856,0.483796266373247,0.944478267803788
"79",7,1,1,1,1,1
"80",7,1,1,1,1,1
"81",8,0.701837996486574,0.758122429717332,0.102579821832478,0.0448572654277086,0.716186034027487
"82",8,0.796366369118914,0.42886429768987,0.329097555251792,0.927400591317564,0.500063531333581
"83",8,0.101229002000764,0.103510939516127,0.262563402298838,0.0018256432376802,0.1445391648449
"84",8,0.605683450354263,0.283427779795602,0.614460975863039,0.383130574366078,0.564816235564649
"85",8,0,0,0,0,0
"86",8,0.115328553831205,0.450995115796104,0.118542914045975,0.275656245881692,0.627755640540272
"87",8,0.888430204009637,0.260413923766464,0.722809249302372,0.905878391815349,0.00702548259869218
"88",8,0.789778494741768,0.849823635304347,0.802811487577856,0.483796266373247,0.944478267803788
"89",8,0.635876889107749,0.736547883832827,0.357735220575705,0.882586928550154,0.620413667988032
"90",8,1,1,1,1,1
