"","Step","Cluster_1_Percentage","Cluster_2_Percentage"
"1",0,50,50
"11",1,50,50
"12",2,51,49
"13",3,51,49
"14",4,52,48
"15",5,52,48
"16",6,53,47
"17",7,52,48
"18",8,52,48
"19",9,54,46
"110",10,54,46
"111",11,55,45
"112",12,55,45
"113",13,55,45
"114",14,56,44
"115",15,56,44
"116",16,57,43
"117",17,57,43
"118",18,58,42
"119",19,58,42
"120",20,58,42
"121",21,58,42
"122",22,59,41
"123",23,59,41
"124",24,60,40
"125",25,56,44
"126",26,57,43
"127",27,61,39
"128",28,62,38
"129",29,58,42
"130",30,63,37
"131",31,58,42
"132",32,63,37
"133",33,63,37
"134",34,64,36
"135",35,64,36
"136",36,65,35
"137",37,65,35
"138",38,66,34
"139",39,66,34
"140",40,67,33
"141",41,67,33
"142",42,68,32
"143",43,68,32
"144",44,68,32
"145",45,68,32
"146",46,69,31
"147",47,69,31
"148",48,70,30
"149",49,70,30
"150",50,71,29
"151",51,70,30
"152",52,71,29
"153",53,71,29
"154",54,72,28
"155",55,72,28
"156",56,72,28
"157",57,72,28
"158",58,73,27
"159",59,75,25
"160",60,74,26
"161",61,73,27
"162",62,74,26
"163",63,76,24
"164",64,77,23
"165",65,77,23
"166",66,78,22
"167",67,78,22
"168",68,78,22
"169",69,78,22
"170",70,78,22
"171",71,78,22
"172",72,79,21
"173",73,82,18
"174",74,83,17
"175",75,88,12
"176",76,88,12
"177",77,89,11
"178",78,89,11
"179",79,90,10
"180",80,90,10
"181",81,91,9
"182",82,91,9
"183",83,92,8
"184",84,92,8
"185",85,93,7
"186",86,93,7
"187",87,94,6
"188",88,94,6
"189",89,95,5
"190",90,95,5
"191",91,96,4
"192",92,96,4
"193",93,97,3
"194",94,97,3
"195",95,98,2
"196",96,98,2
"197",97,83,17
"198",98,96,4
"199",99,83,17
"1100",100,45,55
