"","Step","kmeans_result.cluster"
"1",0,2
"2",0,2
"3",0,2
"4",0,2
"5",0,2
"6",0,1
"7",0,1
"8",0,1
"9",0,1
"10",0,1
"11",1,2
"12",1,2
"13",1,2
"14",1,2
"15",1,2
"16",1,1
"17",1,1
"18",1,1
"19",1,1
"20",1,1
"21",2,2
"22",2,2
"23",2,2
"24",2,2
"25",2,2
"26",2,2
"27",2,1
"28",2,1
"29",2,1
"30",2,1
"31",3,2
"32",3,1
"33",3,2
"34",3,2
"35",3,2
"36",3,2
"37",3,1
"38",3,1
"39",3,1
"40",3,1
"41",4,1
"42",4,2
"43",4,1
"44",4,1
"45",4,1
"46",4,1
"47",4,2
"48",4,2
"49",4,2
"50",4,2
"51",5,1
"52",5,1
"53",5,1
"54",5,1
"55",5,1
"56",5,1
"57",5,1
"58",5,2
"59",5,2
"60",5,2
"61",6,2
"62",6,1
"63",6,2
"64",6,2
"65",6,2
"66",6,2
"67",6,1
"68",6,1
"69",6,1
"70",6,1
"71",7,1
"72",7,2
"73",7,1
"74",7,1
"75",7,1
"76",7,1
"77",7,2
"78",7,2
"79",7,2
"80",7,2
"81",8,2
"82",8,1
"83",8,2
"84",8,1
"85",8,2
"86",8,2
"87",8,1
"88",8,1
"89",8,1
"90",8,1
"91",9,1
"92",9,2
"93",9,1
"94",9,1
"95",9,1
"96",9,1
"97",9,2
"98",9,2
"99",9,2
"100",9,2
"101",10,1
"102",10,2
"103",10,1
"104",10,2
"105",10,1
"106",10,1
"107",10,2
"108",10,2
"109",10,2
"110",10,2
