"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",1,0.00822,0.00806,0.992,0.992
"2",2,0.0301,0.0295,0.971,0.971
"3",3,0.0502,0.0484,0.952,0.954
"4",4,0.0605,0.0585,0.943,0.945
"5",5,0.0735,0.0708,0.932,0.934
"6",6,0.0901,0.0864,0.917,0.92
"7",7,0.105,0.0997,0.905,0.909
"8",8,0.127,0.12,0.887,0.893
"9",9,0.145,0.133,0.873,0.883
"10",10,0.156,0.145,0.865,0.873
"11",11,0.16,0.147,0.862,0.872
"12",12,0.18,0.162,0.847,0.861
"13",13,0.187,0.167,0.842,0.857
"14",14,0.239,0.221,0.807,0.819
"15",15,0.24,0.219,0.806,0.82
"16",16,0.22,0.196,0.82,0.836
"17",17,0.232,0.206,0.812,0.829
"18",18,0.256,0.226,0.796,0.816
"19",19,0.264,0.232,0.791,0.812
"20",20,0.272,0.238,0.786,0.808
"21",21,0.29,0.253,0.775,0.798
"22",22,0.298,0.26,0.77,0.794
"23",23,0.303,0.261,0.767,0.793
"24",24,0.329,0.282,0.752,0.78
"25",25,0.335,0.286,0.749,0.778
"26",26,0.351,0.299,0.74,0.77
"27",27,0.369,0.314,0.73,0.761
"28",28,0.373,0.316,0.728,0.76
"29",29,0.377,0.316,0.726,0.76
"30",30,0.39,0.328,0.719,0.753
"31",31,0.41,0.342,0.709,0.745
"32",32,0.419,0.349,0.705,0.741
"33",33,0.431,0.357,0.699,0.737
"34",34,0.452,0.375,0.689,0.727
"35",35,0.459,0.378,0.685,0.726
"36",36,0.47,0.387,0.68,0.721
"37",37,0.481,0.394,0.675,0.717
"38",38,0.494,0.406,0.669,0.711
"39",39,0.505,0.413,0.664,0.708
"40",40,0.521,0.425,0.657,0.702
"41",41,0.538,0.438,0.65,0.695
"42",42,0.557,0.452,0.642,0.689
"43",43,0.581,0.469,0.633,0.681
"44",44,0.588,0.474,0.63,0.678
"45",45,0.598,0.48,0.626,0.676
"46",46,0.601,0.481,0.625,0.675
"47",47,0.616,0.491,0.619,0.671
"48",48,0.618,0.49,0.618,0.671
"49",49,0.626,0.494,0.615,0.669
"50",50,0.642,0.505,0.609,0.664
"51",51,0.657,0.516,0.604,0.66
"52",52,0.66,0.516,0.602,0.66
"53",53,0.67,0.522,0.599,0.657
"54",54,0.675,0.524,0.597,0.656
"55",55,0.686,0.532,0.593,0.653
"56",56,0.696,0.539,0.59,0.65
"57",57,0.696,0.538,0.59,0.65
"58",58,0.715,0.552,0.583,0.644
"59",59,0.724,0.557,0.58,0.642
"60",60,0.752,0.579,0.571,0.633
"61",61,0.764,0.586,0.567,0.631
"62",62,0.776,0.593,0.563,0.628
"63",63,0.788,0.6,0.559,0.625
"64",64,0.735,0.562,0.576,0.64
"65",65,0.747,0.57,0.572,0.637
"66",66,0.816,0.617,0.551,0.618
"67",67,0.817,0.615,0.55,0.619
"68",68,0.846,0.635,0.542,0.612
"69",69,0.858,0.644,0.538,0.608
"70",70,0.863,0.646,0.537,0.608
"71",71,0.87,0.65,0.535,0.606
"72",72,0.804,0.605,0.554,0.623
"73",73,0.926,0.689,0.519,0.592
"74",74,0.945,0.702,0.514,0.588
"75",75,0.945,0.701,0.514,0.588
"76",76,0.958,0.709,0.511,0.585
"77",77,0.958,0.707,0.511,0.586
"78",78,0.97,0.715,0.508,0.583
"79",79,0.975,0.717,0.506,0.582
"80",80,0.868,0.643,0.535,0.609
"81",81,0.881,0.652,0.532,0.605
"82",82,1.043,0.761,0.489,0.568
"83",83,1.043,0.761,0.489,0.568
"84",84,1.056,0.768,0.486,0.566
"85",85,1.073,0.781,0.482,0.561
"86",86,1.084,0.786,0.48,0.56
"87",87,1.109,0.804,0.474,0.554
"88",88,1.347,0.982,0.426,0.505
"89",89,1.407,1.026,0.415,0.494
"90",90,1.421,1.034,0.413,0.492
"91",91,1.389,1.011,0.419,0.497
"92",92,1.39,1.01,0.418,0.498
"93",93,1.184,0.849,0.458,0.541
"94",94,1.415,1.027,0.414,0.493
"95",95,1.519,1.102,0.397,0.476
"96",96,1.552,1.127,0.392,0.47
"97",97,1.557,1.131,0.391,0.469
"98",98,1.561,1.138,0.39,0.468
"99",99,1.283,0.917,0.438,0.522
"100",100,1.595,1.167,0.385,0.461
