"","Step","DB_Index_Avg","DB_Index_Centroid","Norm_DB_Index_Avg","Norm_DB_Index_Centroid"
"1",0,0,4.44e-16,1,1
"2",1,0.0216,0.0212,0.979,0.979
"3",2,0.043,0.0406,0.959,0.961
"4",3,0.0663,0.0633,0.938,0.94
"5",4,0.0898,0.0839,0.918,0.923
"6",5,0.111,0.103,0.9,0.907
"7",6,0.133,0.123,0.883,0.89
"8",7,0.157,0.145,0.864,0.873
"9",8,0.18,0.165,0.847,0.858
"10",9,0.204,0.186,0.831,0.843
"11",10,0.204,0.181,0.831,0.847
"12",11,0.251,0.226,0.799,0.816
"13",12,0.239,0.21,0.807,0.826
"14",13,0.299,0.268,0.77,0.789
"15",14,0.321,0.287,0.757,0.777
"16",15,0.309,0.272,0.764,0.786
"17",16,0.302,0.26,0.768,0.794
"18",17,0.381,0.336,0.724,0.749
"19",18,0.329,0.28,0.752,0.781
"20",19,0.342,0.291,0.745,0.775
"21",20,0.358,0.302,0.736,0.768
"22",21,0.39,0.33,0.719,0.752
"23",22,0.384,0.322,0.723,0.756
"24",23,0.394,0.329,0.717,0.752
"25",24,0.408,0.339,0.71,0.747
"26",25,0.417,0.346,0.706,0.743
"27",26,0.433,0.356,0.698,0.737
"28",27,0.466,0.384,0.682,0.723
"29",28,0.474,0.39,0.678,0.719
"30",29,0.464,0.378,0.683,0.726
"31",30,0.477,0.387,0.677,0.721
"32",31,0.485,0.392,0.673,0.718
"33",32,0.497,0.4,0.668,0.714
"34",33,0.503,0.404,0.665,0.712
"35",34,0.538,0.432,0.65,0.698
"36",35,0.524,0.418,0.656,0.705
"37",36,0.558,0.444,0.642,0.693
"38",37,0.571,0.451,0.637,0.689
"39",38,0.554,0.436,0.644,0.696
"40",39,0.588,0.462,0.63,0.684
"41",40,0.593,0.464,0.628,0.683
"42",41,0.577,0.45,0.634,0.69
"43",42,0.586,0.454,0.631,0.688
"44",43,0.591,0.457,0.629,0.686
"45",44,0.631,0.487,0.613,0.672
"46",45,0.606,0.465,0.623,0.683
"47",46,0.615,0.47,0.619,0.68
"48",47,0.619,0.472,0.618,0.679
"49",48,0.628,0.477,0.614,0.677
"50",49,0.633,0.48,0.612,0.676
"51",50,0.641,0.483,0.609,0.674
"52",51,0.645,0.486,0.608,0.673
"53",52,0.686,0.515,0.593,0.66
"54",53,0.695,0.52,0.59,0.658
"55",54,0.698,0.522,0.589,0.657
"56",55,0.707,0.525,0.586,0.656
"57",56,0.678,0.502,0.596,0.666
"58",57,0.679,0.502,0.596,0.666
"59",58,0.687,0.507,0.593,0.664
"60",59,0.688,0.506,0.592,0.664
"61",60,0.697,0.511,0.589,0.662
"62",61,0.699,0.512,0.589,0.661
"63",62,0.707,0.516,0.586,0.66
"64",63,0.707,0.515,0.586,0.66
"65",64,0.742,0.539,0.574,0.65
"66",65,0.747,0.541,0.572,0.649
"67",66,0.749,0.542,0.572,0.649
"68",67,0.755,0.544,0.57,0.648
"69",68,0.757,0.545,0.569,0.647
"70",69,0.764,0.549,0.567,0.646
"71",70,0.735,0.528,0.576,0.654
"72",71,0.736,0.528,0.576,0.654
"73",72,0.77,0.551,0.565,0.645
"74",73,0.744,0.532,0.573,0.653
"75",74,0.751,0.536,0.571,0.651
"76",75,0.779,0.554,0.562,0.644
"77",76,0.757,0.538,0.569,0.65
"78",77,0.759,0.539,0.569,0.65
"79",78,0.764,0.542,0.567,0.649
"80",79,0.786,0.556,0.56,0.643
"81",80,0.77,0.545,0.565,0.647
"82",81,0.791,0.559,0.558,0.641
"83",82,0.79,0.558,0.559,0.642
"84",83,0.794,0.56,0.557,0.641
"85",84,0.776,0.547,0.563,0.646
"86",85,0.8,0.563,0.556,0.64
"87",86,0.8,0.563,0.556,0.64
"88",87,0.802,0.564,0.555,0.639
"89",88,0.802,0.565,0.555,0.639
"90",89,0.804,0.565,0.554,0.639
"91",90,0.785,0.552,0.56,0.644
"92",91,5.103,3.581,0.164,0.218
"93",92,0.786,0.552,0.56,0.644
"94",93,5.687,3.985,0.15,0.201
"95",94,5.238,3.664,0.16,0.214
"96",95,6.323,4.425,0.137,0.184
"97",96,6.546,4.579,0.133,0.179
"98",97,6.757,4.722,0.129,0.175
"99",98,6.955,4.866,0.126,0.17
"100",99,7.341,5.141,0.12,0.163
"101",100,7.41,5.194,0.119,0.161
