"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"1",1,2,3,1,1,1,0,0,1
"2",2,2,1,1,1,1,0,1,1
"3",1,3,5,1,1,1,0,1,1
"4",2,2,1,1,1,1,0,1,1
"5",1,3,5,1,1,1,0,1,1
"6",1,3,5,1,1,1,0,1,1
"7",1,2,4,1,1,1,0,0,1
"8",1,3,5,1,1,1,0,1,1
"9",1,2,4,1,1,1,0,0,1
"10",1,3,3,1,1,1,0,1,1
"11",1,3,3,1,1,1,0,1,1
"12",2,2,1,1,1,1,0,0,1
"13",2,1,2,2,2,1,0,0,0
"14",2,2,1,1,1,1,0,0,1
"15",1,2,4,1,1,1,0,0,1
"16",2,1,2,1,2,1,0,0,0
"17",1,2,4,1,1,1,0,0,0
"18",1,3,5,1,1,1,0,0,0
"19",1,3,5,1,1,1,0,0,2
"20",2,1,2,2,2,2,0,0,0
"21",1,2,4,1,1,1,0,0,0
"22",1,3,5,1,1,1,0,1,1
"23",1,3,5,1,1,1,0,0,1
"24",1,2,3,1,1,1,0,0,1
"25",1,2,3,1,1,1,0,1,1
"26",1,2,3,1,1,1,0,1,1
"27",1,3,5,1,1,1,0,1,1
"28",1,3,3,1,1,1,0,1,1
"29",1,2,4,1,1,1,0,0,0
"30",1,2,3,1,1,1,0,1,1
"31",1,2,3,1,1,1,0,0,1
"32",1,2,3,1,1,1,0,1,1
"33",1,2,3,1,1,1,0,0,1
"34",1,3,5,1,1,1,0,0,0
"35",1,2,3,1,1,1,0,1,1
"36",1,3,5,1,1,1,0,0,0
"37",2,1,2,1,2,1,0,0,0
"38",1,3,5,1,1,1,0,0,0
"39",1,2,4,1,1,1,0,0,0
"40",1,2,3,1,1,1,0,0,1
"41",1,3,5,1,1,1,0,0,1
"42",2,2,1,1,1,1,0,0,1
"43",1,3,5,1,1,1,0,0,0
"44",1,2,3,1,1,1,0,1,1
"45",1,2,3,1,1,1,0,0,1
"46",1,2,3,1,1,1,0,1,1
"47",1,3,5,1,1,1,2,1,1
"48",1,3,3,1,1,1,0,0,1
"49",1,3,5,1,1,1,0,1,1
"50",1,3,5,1,1,1,0,0,0
"51",1,2,4,1,1,1,0,0,1
"52",1,3,5,1,1,1,2,1,1
"53",1,3,3,1,1,1,0,1,1
"54",1,2,3,1,1,1,0,1,1
"55",1,2,3,1,1,1,1,1,1
"56",2,2,1,1,1,1,0,0,1
"57",1,3,3,1,1,1,0,1,1
"58",2,2,4,1,1,1,0,0,1
"59",2,1,1,1,1,1,0,0,1
"60",1,2,3,1,1,1,0,1,1
"61",2,2,1,1,1,1,0,1,1
"62",1,2,3,1,1,1,0,1,1
"63",2,2,3,1,1,1,0,1,1
"64",1,2,3,1,1,1,1,1,1
"65",1,3,3,1,1,1,0,1,1
"66",2,2,1,1,1,1,0,1,1
"67",1,2,3,1,1,1,0,1,1
"68",2,2,1,1,1,1,0,0,1
"69",1,2,3,1,1,1,0,0,0
"70",1,3,5,1,1,1,0,0,2
"71",1,3,5,1,1,1,0,0,1
"72",2,2,3,1,1,1,0,1,1
"73",1,2,3,1,1,1,1,1,1
"74",1,3,5,1,1,1,0,0,0
"75",2,2,1,1,1,1,0,0,1
"76",1,2,3,1,1,1,0,1,1
"77",1,3,5,1,1,1,0,1,1
"78",1,3,3,1,1,1,0,0,1
"79",2,1,2,1,2,1,0,0,3
"80",1,2,4,1,1,1,0,0,1
"81",1,3,3,1,1,1,0,1,1
"82",1,2,3,1,1,1,3,1,1
"83",1,3,5,1,1,1,0,1,1
"84",1,2,3,1,1,1,0,1,1
"85",1,2,3,1,1,1,0,0,1
"86",1,2,3,1,1,1,0,1,1
"87",1,2,3,1,1,1,0,1,1
"88",1,2,3,1,1,1,0,1,1
"89",1,3,3,1,1,1,0,1,1
"90",2,2,1,1,1,1,0,0,1
"91",1,3,5,1,1,1,0,1,1
"92",1,2,3,1,1,1,0,1,1
"93",1,2,4,1,1,1,0,0,0
