"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"1",2,3,4,1,1,1,0,0,0
"2",2,3,2,1,1,1,0,0,0
"3",2,2,2,1,2,1,0,0,0
"4",2,2,2,1,2,1,0,1,1
"5",2,2,2,1,2,1,0,0,0
"6",2,2,2,1,2,1,0,2,2
"7",2,2,2,1,2,1,1,1,1
"8",2,2,2,1,2,1,2,1,1
"9",2,2,2,1,2,1,0,2,2
"10",2,2,1,1,2,1,0,0,0
"11",2,2,1,1,2,1,0,0,0
"12",2,2,1,1,2,1,0,0,0
"13",2,2,1,1,2,1,0,0,0
"14",2,2,2,1,2,1,6,1,1
"15",2,2,5,1,2,1,0,1,1
"16",1,2,1,1,3,1,0,9,3
"17",1,2,1,1,3,1,0,9,3
"18",1,2,5,1,2,1,0,0,0
"19",1,2,5,1,2,1,0,0,0
"20",1,2,5,1,2,1,9,1,1
"21",1,1,5,1,2,1,16,3,1
"22",1,1,5,1,2,1,0,3,1
"23",1,1,5,1,3,1,3,3,1
"24",1,1,5,1,3,1,3,3,1
"25",1,1,5,1,3,1,0,3,1
"26",1,1,3,1,3,1,14,3,1
"27",1,1,1,1,3,1,0,0,0
"28",1,1,1,1,3,1,0,0,4
"29",1,1,3,1,3,1,0,0,1
"30",1,1,3,1,3,1,0,3,1
"31",1,1,3,1,3,1,11,3,1
"32",1,1,3,1,3,1,0,3,1
"33",1,1,3,1,3,1,4,3,1
"34",1,1,3,1,3,1,0,0,1
"35",2,3,4,1,1,1,0,0,0
"36",2,2,2,1,2,1,0,0,0
"37",2,2,2,1,2,1,2,1,1
"38",2,2,2,1,2,1,0,0,1
"39",1,1,5,1,3,1,0,6,1
"40",1,1,5,1,3,1,3,3,1
"41",1,1,3,1,3,1,5,4,1
"42",1,1,3,1,3,1,14,3,1
"43",1,1,3,1,3,1,0,3,1
"44",2,2,2,1,2,1,0,0,0
"45",2,2,2,1,2,1,0,1,1
"46",2,2,2,1,2,1,1,1,1
"47",1,1,5,1,3,1,0,3,1
"48",2,2,2,1,2,1,0,2,2
"49",1,1,3,1,3,1,0,0,1
"50",1,1,3,1,3,1,0,0,1
"51",1,1,3,1,3,1,0,7,1
"52",2,2,1,1,2,1,0,0,0
"53",2,2,2,1,2,1,6,1,1
"54",1,1,5,1,3,1,12,3,1
"55",1,1,3,1,3,1,0,0,0
"56",1,1,5,1,2,1,16,3,1
"57",2,2,2,1,2,1,1,1,1
"58",2,2,2,1,2,1,6,1,1
"59",1,1,5,1,3,1,7,3,1
"60",1,1,3,1,3,1,15,5,1
"61",2,2,2,1,2,1,0,2,2
"62",1,1,5,1,2,1,7,3,1
"63",1,1,3,1,3,1,5,4,1
"64",2,3,4,1,1,1,0,0,0
"65",1,1,3,1,3,1,0,4,1
"66",2,2,5,1,2,1,0,1,1
"67",1,1,5,1,3,1,0,6,1
"68",1,2,1,1,3,1,0,9,3
"69",1,1,3,1,3,1,0,0,5
"70",2,2,2,1,2,1,0,0,1
"71",1,1,3,1,3,1,0,0,1
"72",1,2,1,1,3,1,0,0,0
"73",1,1,3,1,3,1,0,0,5
"74",1,2,5,1,2,1,9,1,1
"75",1,1,3,1,3,1,0,3,1
"76",2,2,2,1,2,1,0,1,1
"77",2,2,2,1,2,1,0,0,1
"78",1,2,5,1,2,1,8,1,1
"79",1,2,5,1,2,1,8,1,1
"80",1,1,3,1,3,1,0,0,0
"81",2,2,2,1,2,1,0,1,1
"82",1,2,5,1,2,1,8,1,1
"83",1,1,3,1,3,1,0,3,1
"84",2,2,2,1,2,1,0,0,0
"85",1,1,3,1,3,1,0,0,0
"86",1,1,1,1,3,1,0,0,0
"87",2,2,1,1,2,1,0,0,0
"88",1,1,3,1,3,1,4,3,1
"89",1,1,5,1,3,1,0,6,1
"90",1,1,5,1,3,1,0,3,1
"91",1,2,5,1,2,1,9,1,1
"92",1,1,1,1,3,1,0,0,0
"93",1,1,3,1,3,1,0,3,1
"94",1,1,3,1,3,1,0,0,0
"95",2,2,2,1,2,1,6,1,1
"96",2,3,4,2,1,2,0,0,0
"97",1,1,3,1,3,1,0,0,0
"98",1,2,5,1,2,1,8,1,1
"99",1,1,1,1,3,1,0,0,4
"100",2,2,2,1,2,1,2,1,1
"101",2,2,2,1,2,1,6,1,1
"102",1,2,5,1,2,1,0,6,1
"103",1,1,3,1,3,1,10,3,1
"104",2,2,2,1,2,1,0,0,0
"105",1,1,1,1,3,1,0,0,0
"106",1,1,5,1,3,1,0,3,1
"107",1,2,1,1,3,1,0,8,6
"108",1,1,3,1,3,1,0,0,0
"109",1,1,5,1,3,1,0,6,1
"110",1,1,3,1,3,1,15,5,1
"111",2,2,2,1,2,1,0,1,1
"112",1,2,5,1,2,1,8,1,1
"113",1,1,3,1,3,1,14,3,1
"114",2,2,2,1,2,1,0,6,1
"115",1,1,3,1,3,1,0,0,1
"116",2,3,4,2,1,2,0,0,0
"117",1,1,5,1,3,1,3,3,1
"118",2,2,1,1,2,1,0,0,0
"119",1,1,3,1,3,1,0,0,4
"120",2,2,5,1,2,1,0,0,1
"121",1,1,3,1,3,1,0,0,0
"122",2,2,2,1,2,1,13,1,1
"123",1,1,1,1,3,1,0,0,1
"124",2,2,2,1,2,1,2,1,1
"125",2,2,2,1,2,1,0,0,1
"126",2,2,1,1,2,1,0,0,0
"127",1,1,3,1,3,1,11,3,1
"128",1,1,3,1,3,1,4,3,1
"129",2,2,2,1,2,1,0,0,1
"130",1,1,1,1,3,1,0,0,0
"131",2,2,2,1,2,1,0,0,1
"132",1,2,5,1,2,1,0,6,1
"133",1,1,3,1,3,1,4,3,1
"134",2,2,5,1,2,1,0,1,1
"135",1,1,5,1,3,1,12,3,1
"136",1,2,5,1,2,1,8,1,1
"137",1,1,5,1,3,1,5,4,1
"138",1,1,3,1,3,1,0,3,1
"139",1,1,5,1,2,1,0,3,1
"140",1,1,3,1,3,1,11,3,1
"141",1,1,5,1,3,1,3,3,1
"142",1,1,3,1,3,1,0,0,0
"143",1,1,5,1,3,1,0,0,1
"144",1,1,3,1,3,1,0,0,1
"145",1,2,5,1,2,1,8,1,1
"146",2,2,2,1,2,1,6,1,1
"147",1,1,3,1,3,1,0,0,1
"148",2,2,2,1,2,1,0,0,0
