"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"1",1,2,1,1,1,1,0,0,1
"2",1,3,5,2,2,1,0,0,0
"3",1,2,3,1,1,1,0,1,1
"4",1,2,1,1,1,1,3,1,1
"5",2,1,2,3,3,1,1,2,2
"6",1,3,5,2,2,1,0,0,3
"7",1,3,5,2,2,1,0,0,3
"8",1,2,1,1,1,1,0,1,1
"9",1,2,1,1,1,1,0,1,1
"10",1,2,1,1,1,1,2,1,1
"11",1,3,5,2,2,1,0,0,0
"12",1,3,4,2,1,1,0,0,0
"13",2,1,3,1,3,1,0,0,1
"14",2,1,2,3,3,1,1,2,2
"15",1,3,5,2,2,1,0,0,0
"16",1,2,1,1,1,1,0,0,0
"17",2,1,2,3,3,1,0,0,2
"18",1,2,1,1,1,1,0,0,0
"19",1,2,1,1,1,1,0,1,1
"20",1,2,1,1,1,1,0,1,1
"21",1,2,1,1,1,1,2,1,1
"22",1,3,5,2,2,1,0,0,0
"23",2,1,3,1,3,1,0,0,1
"24",2,1,2,3,3,1,1,2,2
"25",2,1,2,3,3,1,1,2,2
"26",2,1,2,3,3,1,1,2,2
"27",1,3,4,2,1,1,0,0,0
"28",2,1,2,3,3,1,1,2,2
"29",1,2,1,1,1,1,3,1,1
"30",1,2,1,1,1,1,2,1,1
"31",2,1,2,3,3,1,1,2,2
"32",2,1,3,1,3,1,0,0,1
"33",1,2,3,1,3,1,0,1,1
"34",2,1,2,3,3,1,1,2,2
"35",2,1,2,3,3,1,1,2,2
"36",1,2,1,1,1,1,2,1,1
"37",2,1,2,3,3,1,0,0,2
"38",2,1,3,1,3,1,0,0,1
"39",2,1,2,3,3,1,1,2,2
"40",1,3,5,2,2,1,0,0,0
"41",1,2,1,1,1,1,2,1,1
"42",1,2,1,1,1,1,2,1,1
"43",1,2,1,1,1,1,0,1,1
"44",1,3,5,2,2,1,0,0,0
"45",1,2,1,1,1,1,0,1,1
"46",1,2,3,1,3,1,0,1,1
"47",1,2,3,1,1,1,0,1,1
"48",2,1,2,3,3,1,1,2,2
"49",1,3,5,2,2,1,0,0,0
"50",1,2,1,1,1,1,3,1,1
"51",1,2,1,1,1,1,0,0,0
"52",2,1,2,3,3,1,0,0,0
"53",2,1,2,3,3,1,1,2,2
"54",1,2,1,1,1,1,2,1,1
"55",1,2,1,1,1,1,3,1,1
"56",1,2,3,1,3,1,0,0,1
"57",2,1,2,3,3,1,1,2,2
"58",1,2,3,1,1,1,0,1,1
"59",2,1,2,3,3,1,1,2,2
"60",2,1,2,3,3,1,1,2,2
"61",1,2,1,1,1,1,0,0,0
"62",2,1,2,3,3,1,1,2,2
"63",1,3,4,2,1,1,0,0,0
"64",2,1,2,3,3,1,1,2,2
"65",1,2,1,1,1,1,3,1,1
"66",1,2,1,1,1,1,2,1,1
"67",2,1,2,3,3,1,1,2,2
"68",1,2,1,1,1,1,3,1,1
"69",2,1,2,3,3,1,1,2,2
"70",1,3,5,2,2,1,0,0,3
"71",1,2,3,1,1,1,0,1,1
"72",2,1,2,3,3,1,1,2,2
"73",2,1,2,3,3,1,1,2,2
"74",1,2,1,1,1,1,3,1,1
"75",2,1,2,3,3,1,1,2,2
"76",1,2,3,1,3,1,0,1,1
"77",1,2,1,1,1,1,0,1,1
"78",1,3,5,2,2,1,0,0,0
"79",2,1,2,3,3,1,1,2,2
"80",2,1,2,3,3,1,1,2,2
"81",1,2,1,1,1,1,3,1,1
"82",2,1,2,3,3,1,0,0,2
"83",1,2,3,1,1,1,0,0,0
"84",1,2,1,1,1,1,2,1,1
"85",1,2,3,1,3,1,0,1,1
"86",1,2,3,1,3,1,0,1,1
"87",2,1,2,1,3,1,0,0,1
"88",2,1,2,3,3,1,1,2,2
"89",1,3,5,2,2,1,0,0,0
"90",1,3,4,2,1,1,0,0,0
"91",1,2,1,1,1,1,2,1,1
"92",2,1,2,3,3,1,1,2,2
"93",1,2,1,1,1,1,0,1,1
"94",2,1,3,1,3,1,0,0,1
"95",1,3,5,2,2,1,0,0,0
"96",1,3,5,2,2,1,0,0,0
"97",1,3,5,2,2,1,0,0,3
"98",1,3,5,2,2,1,0,0,0
"99",1,2,1,1,1,1,0,0,0
"100",1,2,1,1,1,1,3,1,1
"101",1,2,1,1,1,1,0,1,1
"102",1,3,5,2,2,1,0,0,0
"103",1,2,1,1,1,1,0,0,0
"104",2,1,2,3,3,1,1,2,2
"105",1,3,5,2,2,1,0,0,3
"106",2,1,2,3,3,1,0,0,2
"107",1,2,1,1,1,1,3,1,1
"108",1,3,4,2,1,1,0,0,0
"109",1,3,5,2,2,1,0,0,0
"110",2,1,2,3,3,1,0,0,2
"111",1,2,1,1,1,1,3,1,1
"112",1,2,1,1,1,1,3,1,1
"113",1,3,5,2,2,1,0,0,0
"114",1,2,1,1,1,1,3,1,1
"115",1,2,1,1,1,1,2,1,1
"116",1,3,4,2,1,1,0,0,0
"117",2,1,2,3,3,1,1,2,2
"118",2,1,2,3,3,1,1,2,2
"119",2,1,2,3,3,1,1,2,2
"120",1,3,5,2,2,1,0,0,0
"121",2,1,2,3,3,1,1,2,2
"122",1,2,3,1,3,1,0,0,0
"123",1,2,1,1,1,1,2,1,1
"124",1,3,5,2,2,1,0,0,0
"125",2,1,2,3,3,1,0,0,0
"126",1,2,1,1,1,1,2,1,1
"127",1,2,1,1,1,1,0,0,0
"128",2,1,2,3,3,1,1,2,2
"129",1,2,1,1,1,1,0,1,1
"130",2,1,2,3,3,1,1,2,2
"131",1,2,3,1,3,1,0,1,1
"132",2,1,2,3,3,1,0,0,2
"133",1,2,3,1,3,1,0,1,1
"134",2,1,2,3,3,1,1,2,2
"135",1,2,1,1,1,1,3,1,1
"136",1,2,1,1,1,1,3,1,1
"137",1,2,1,1,1,1,3,1,1
"138",1,3,5,2,2,1,0,0,3
"139",1,2,1,1,1,1,0,1,1
"140",2,1,2,3,3,1,1,2,2
"141",1,2,1,1,1,1,0,1,1
"142",1,3,5,2,2,1,0,0,0
"143",1,3,5,2,2,1,0,0,0
"144",1,3,5,2,2,1,0,0,3
"145",1,2,1,1,1,1,0,0,0
"146",1,2,1,1,1,1,0,1,1
"147",1,3,5,2,2,1,0,0,3
"148",1,2,1,1,1,1,0,1,1
"149",1,2,1,1,1,1,0,1,1
"150",1,3,5,2,2,1,0,0,0
"151",1,3,4,2,1,1,0,0,0
"152",2,1,3,1,3,1,0,0,1
"153",1,3,4,2,1,1,0,0,0
"154",2,1,2,3,3,1,1,2,2
"155",2,1,2,3,3,1,1,2,2
"156",1,3,5,2,2,1,0,0,3
"157",2,1,2,3,3,1,1,2,2
"158",1,2,1,1,1,1,0,0,0
"159",2,1,2,3,3,1,0,0,2
"160",2,1,2,3,3,1,1,2,2
"161",2,1,3,1,3,1,0,0,1
"162",1,2,3,1,3,1,0,1,1
"163",2,1,3,1,3,1,0,0,1
"164",2,1,2,3,3,1,1,2,2
"165",1,2,1,1,1,1,3,1,1
"166",1,2,1,1,1,1,2,1,1
"167",1,3,5,2,2,1,0,0,0
"168",1,2,1,1,1,1,3,1,1
"169",2,1,2,3,3,1,1,2,2
"170",2,1,2,3,3,1,1,2,2
"171",2,1,2,3,3,1,1,2,2
"172",1,2,3,1,1,1,0,1,1
"173",1,3,5,2,2,1,0,0,0
"174",1,3,4,2,1,1,0,0,0
"175",2,1,2,3,3,1,1,2,2
"176",2,1,2,3,3,1,1,2,2
"177",1,3,5,2,2,1,0,0,3
"178",2,1,2,3,3,1,1,2,2
"179",2,1,2,3,3,1,1,2,2
"180",1,3,4,2,1,1,0,0,0
"181",1,2,1,1,1,1,3,1,1
"182",1,2,1,1,1,1,3,1,1
"183",1,2,1,1,1,1,3,1,1
"184",1,2,3,1,3,1,0,1,1
"185",1,2,3,1,1,1,0,0,0
"186",2,1,2,3,3,1,0,0,2
"187",1,2,1,1,1,1,2,1,1
"188",1,2,1,1,1,1,0,0,0
"189",1,3,4,2,1,1,0,0,0
"190",1,3,5,2,2,1,0,0,0
"191",1,2,3,1,3,1,0,1,1
"192",2,1,3,1,3,1,0,0,1
"193",2,1,2,3,3,1,1,2,2
"194",2,1,3,1,3,1,0,0,1
"195",1,2,1,1,1,1,3,1,1
"196",1,2,1,1,1,1,2,1,1
"197",1,2,1,1,1,1,3,1,1
"198",1,2,1,1,1,1,0,1,1
"199",1,2,3,1,1,1,0,1,1
"200",2,1,2,3,3,1,0,0,0
"201",1,2,1,1,1,1,2,1,1
"202",1,2,4,2,1,2,0,0,0
"203",1,2,1,1,1,1,2,1,1
"204",2,1,2,3,3,1,0,2,2
"205",1,2,1,1,1,1,2,1,1
"206",2,1,2,3,3,1,1,2,2
"207",1,2,3,1,1,1,0,1,1
"208",1,2,1,1,1,1,0,1,1
"209",2,1,2,3,3,1,1,2,2
"210",1,3,4,2,1,1,0,0,0
"211",2,1,3,1,3,1,0,0,1
"212",2,1,3,1,3,1,0,0,1
"213",2,1,2,3,3,1,1,2,2
"214",1,3,5,2,2,1,0,0,0
"215",2,1,2,3,3,1,1,2,2
"216",2,1,3,1,3,1,0,0,1
