"","kmeans_result_2","kmeans_result_3","kmeans_result_5","labels_average","labels_complete","labels_single","dbscan_smal","dbscan_med","dbscan_big"
"1",2,1,5,1,1,1,1,1,1
"2",2,1,5,1,1,1,0,1,1
"3",2,1,2,1,2,1,0,2,1
"4",2,1,5,1,1,1,1,1,1
"5",1,2,4,2,2,1,0,4,2
"6",2,2,2,1,2,1,3,2,1
"7",1,2,4,2,2,1,0,0,2
"8",1,3,3,2,2,1,0,5,3
"9",2,2,2,1,2,1,3,2,1
"10",2,1,5,1,1,1,0,1,1
"11",2,1,5,1,1,1,1,1,1
"12",2,1,5,1,1,1,0,2,1
"13",1,2,4,2,2,1,0,0,2
"14",1,3,1,3,3,1,0,0,0
"15",2,2,2,1,2,1,0,2,1
"16",1,3,1,3,3,1,0,0,0
"17",2,1,2,1,2,1,0,2,1
"18",2,2,2,1,2,1,2,2,1
"19",1,3,3,2,2,1,0,3,3
"20",2,1,5,1,1,1,1,1,1
"21",1,2,4,2,2,1,0,0,2
"22",1,2,4,2,2,1,0,0,2
"23",2,1,5,1,1,1,1,1,1
"24",2,2,2,1,2,1,2,2,1
"25",2,2,2,1,2,1,3,2,1
"26",1,2,4,2,2,1,0,0,2
"27",1,3,3,2,2,1,0,3,3
"28",1,3,1,3,3,1,0,0,0
"29",2,2,2,1,2,1,2,2,1
"30",1,3,3,2,3,1,0,0,0
"31",2,1,2,1,1,1,0,2,1
"32",1,3,3,2,2,1,0,5,3
"33",1,3,3,2,2,1,0,3,3
"34",1,3,3,2,2,1,0,3,3
"35",1,3,3,2,2,1,0,3,3
"36",2,1,5,1,1,1,1,1,1
"37",1,3,3,2,2,1,0,3,3
"38",1,3,3,2,2,1,0,3,3
"39",2,1,5,1,1,1,1,1,1
"40",2,1,5,1,1,1,1,1,1
"41",1,3,4,2,2,1,0,0,2
"42",2,1,5,1,1,1,0,0,0
"43",2,2,2,1,2,1,2,2,1
"44",2,1,5,1,1,1,1,1,1
"45",1,2,4,2,2,1,0,0,2
"46",1,2,4,2,2,1,0,4,2
"47",1,2,4,2,2,1,0,4,2
"48",1,2,4,2,2,1,0,4,2
"49",1,2,4,2,2,1,0,4,2
"50",1,2,4,2,2,1,0,4,2
"51",2,1,5,1,1,1,1,1,1
"52",2,1,5,1,1,1,1,1,1
"53",2,1,2,1,2,1,0,2,1
"54",2,2,2,1,2,1,3,2,1
"55",2,1,2,1,1,1,0,2,1
"56",1,2,4,2,2,1,2,2,1
"57",2,2,2,1,2,1,2,2,1
"58",2,1,5,1,1,1,1,1,1
"59",2,2,2,1,2,1,2,2,1
"60",2,1,5,1,1,1,1,1,1
"61",2,2,2,1,2,1,2,2,1
"62",2,2,2,1,2,1,2,2,1
"63",2,2,2,1,2,1,2,2,1
"64",2,2,2,1,2,1,3,2,1
"65",2,1,2,1,1,1,0,2,1
"66",2,1,5,1,1,1,1,1,1
"67",2,2,2,1,2,1,3,2,1
"68",2,2,2,1,2,1,3,2,1
"69",2,1,5,1,1,1,0,2,1
"70",1,3,3,2,2,1,0,5,3
"71",2,2,2,1,2,1,2,2,1
"72",2,2,2,1,2,1,3,2,1
"73",2,2,2,1,2,1,3,2,1
"74",2,2,2,1,2,1,3,2,1
"75",2,1,2,1,2,1,0,2,1
"76",2,2,2,1,2,1,2,2,1
"77",2,2,2,1,2,1,3,2,1
"78",2,1,2,1,2,1,0,2,1
"79",2,2,2,1,2,1,3,2,1
"80",2,1,5,1,1,1,1,1,1
"81",2,1,5,1,1,1,1,1,1
"82",2,2,2,1,2,1,3,2,1
"83",1,2,4,2,2,1,0,0,2
"84",2,1,5,1,1,1,1,1,1
"85",2,1,5,1,1,1,1,1,1
"86",2,2,2,1,2,1,3,2,1
"87",2,1,5,1,1,1,1,1,1
"88",2,1,2,1,1,1,0,2,1
"89",1,2,4,2,2,1,0,4,2
"90",2,1,5,1,1,1,1,1,1
"91",2,1,5,1,1,1,1,1,1
"92",2,1,5,1,1,1,1,1,1
"93",2,1,5,1,1,1,1,1,1
"94",2,1,5,1,1,1,1,1,1
"95",2,2,2,1,2,1,3,2,1
"96",2,1,5,1,1,1,1,1,1
"97",2,1,5,1,1,1,1,1,1
"98",2,1,5,1,1,1,1,1,1
"99",2,1,5,1,1,1,1,1,1
"100",2,1,5,1,1,1,1,1,1
